,,aaeon,,,,acelin,,,,方向(0:出/1:進),備註
"2023/7/29,16:55:23",BAZ0697,,,,,1,1,BAZ0697,1,0,
"2023/7/29,16:56:58",1803H9,1,1,1803H9,1,1,1,1803H9,1,1,
"2023/7/29,17:8:35",5118S7,0,1,511BS1,1,1,1,5118S7,1,1,
"2023/7/29,17:15:56",BNV2991,1,1,BNV2991,1,1,1,BNV2991,1,0,
"2023/7/29,17:37:10",2028H9,,,,,1,1,2028H9,1,1,
"2023/7/29,17:39:31",BPM3215,,,,,1,1,BPM3215,1,1,
"2023/7/29,17:51:25",APN7596,1,1,APN7596,1,1,1,APN7596,1,0,
"2023/7/29,18:13:39",5026QM,,,,,1,1,5026QM,1,1,
"2023/7/29,18:17:22",BAZ0697,1,1,BAZ0697,1,1,1,BAZ0697,1,1,
"2023/7/29,19:30:43",ATK1232,,,,,1,1,ATK1232,1,1,
"2023/7/29,19:37:44",AAD7379,1,1,AAD7379,1,1,1,AAD7379,1,0,
"2023/7/29,21:15:30",AWY7383,,,,,1,1,AWY7383,1,1,
"2023/7/29,21:41:17",ATL6867,1,1,ATL6867,1,1,1,ATL6867,1,1,
"2023/7/29,21:57:6",AAD7379,,,,,1,1,AAD7379,1,1,
"2023/7/29,22:21:41",AKK8125,,,,,1,1,AKK8125,1,1,
"2023/7/29,23:5:12",APN7596,,,,,1,1,APN7596,1,1,
"2023/7/30,3:45:53",BEE7158,1,1,BEE7158,1,1,1,BEE7158,1,1,
"2023/7/30,4:6:24",AKK6720,,,,,,,,,0,
"2023/7/30,6:14:46",AKK6720,1,1,AKK6720,1,1,1,AKK6720,1,1,
"2023/7/30,8:16:0",5026QM,0,1,5026J,1,1,1,5026QM,1,0,
"2023/7/30,8:25:51",BBM9626,1,1,BBM9626,1,1,1,BBM9626,1,0,
"2023/7/30,10:0:9",BPM3215,1,1,BPM3215,1,1,1,BPM3215,1,0,
"2023/7/30,10:2:53",5118S7,1,1,5118S7,1,1,1,5118S7,1,0,
"2023/7/30,10:37:43",BEE7158,1,1,BEE7158,1,1,1,BEE7158,1,0,
"2023/7/30,11:1:30",2028H9,,,,,1,1,2028H9,1,0,
"2023/7/30,12:15:16",AGU1550,1,1,AGU1550,1,1,1,AGU1550,1,1,
"2023/7/30,12:30:40",ATL6867,1,1,ATL6867,1,1,1,ATL6867,1,0,
"2023/7/30,12:31:18",AAD7379,,,,,1,1,AAD7379,1,0,
"2023/7/30,13:31:16",BBA1339,1,1,BBA1339,1,1,1,BBA1339,1,0,
"2023/7/30,14:23:10",5118S7,,,,,1,1,5118S7,1,1,
"2023/7/30,14:36:7",BFM1090,,,,,1,1,BFM1090,1,0,
"2023/7/30,16:43:21",BEE7158,,,,,1,1,BEE7158,1,1,
"2023/7/30,17:9:8",AAD7379,,,,,1,1,AAD7379,1,1,
"2023/7/30,17:26:4",5026QM,,,,,1,1,5026QM,1,1,
"2023/7/30,17:31:52",ATL6867,,,,,1,1,ATL6867,1,1,
"2023/7/30,17:33:18",1803H9,,,,,1,1,1803H9,1,0,
"2023/7/30,17:35:58",APN7596,1,1,APN7596,1,1,1,APN7596,1,0,
"2023/7/30,17:41:56",AKK8125,,,,,1,1,AKK8125,1,0,
"2023/7/30,17:46:47",2028H9,,,,,1,1,2028H9,1,1,
"2023/7/30,18:20:41",BFM1090,1,1,BFM1090,1,1,1,BFM1090,1,1,
"2023/7/30,18:34:30",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,1,
"2023/7/30,18:56:45",BPM3215,1,1,BPM3215,1,1,1,BPM3215,1,1,
"2023/7/30,19:47:26",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,0,
"2023/7/30,20:19:30",BFM1090,1,1,BFM1090,1,1,1,BFM1090,1,0,
"2023/7/30,20:38:38",1803H9,1,1,1803H9,1,1,1,1803H9,1,1,
"2023/7/30,20:43:33",,0,0,F65C,1,,,,,
"2023/7/30,20:51:18",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,1,
"2023/7/30,21:6:15",AAD7379,,,,,1,1,AAD7379,1,0,
"2023/7/30,21:7:14",APN7596,1,1,APN7596,1,1,1,APN7596,1,1,
"2023/7/30,21:16:32",BBA1339,1,1,BBA1339,1,1,1,BBA1339,1,1,
"2023/7/30,21:55:23",BJW9155,1,1,BJW9155,1,1,1,BJW9155,1,0,
"2023/7/30,21:57:24",BFM1090,,,,,1,1,BFM1090,1,1,
"2023/7/30,22:0:58",AAD7379,,,,,1,1,AAD7379,1,1,
"2023/7/30,22:35:57",BJW9155,,,,,1,1,BJW9155,1,1,
"2023/7/30,22:36:30",BBM9626,,,,,1,1,BBM9626,1,1,
"2023/7/31,2:3:12",AKK8125,1,1,AKK8125,1,1,1,AKK8125,1,1,
"2023/7/31,4:2:33",BBM9626,,,,,,,,,0,
"2023/7/31,5:48:24",BBM9626,1,1,BBM9626,1,1,1,BBM9626,1,1,
"2023/7/31,6:19:53",ARE1316,1,1,ARE1316,1,1,1,ARE1316,1,0,
"2023/7/31,7:46:45",BBM9626,,,,,1,1,BBM9626,1,0,
"2023/7/31,8:23:50",5118S7,1,1,5118S7,1,1,1,5118S7,1,0,
"2023/7/31,8:32:26",ATL6867,,,,,,,,,0,
"2023/7/31,8:54:23",ATL6867,1,1,ATL6867,1,1,1,ATL6867,1,1,
"2023/7/31,9:18:30",ANY3599,1,1,ANY3599,1,1,1,ANY3599,1,0,
"2023/7/31,9:40:18",BAZ0697,1,1,BAZ0697,1,1,1,BAZ0697,1,0,
"2023/7/31,10:35:10",BJW9155,1,1,BJW9155,1,1,1,BJW9155,1,0,
"2023/7/31,11:11:44",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,0,
"2023/7/31,11:21:18",BAZ0697,1,1,BAZ0697,1,1,1,BAZ0697,1,1,
"2023/7/31,11:33:11",ANY3599,1,1,ANY3599,1,1,1,ANY3599,1,1,
"2023/7/31,15:11:12",BBM9626,,,,,1,1,BBM9626,1,1,
